"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"THELEELA","399.00","424.00","398.80","401.50","418.90","-","17.40","4.33","25,61,815","105.04","474.40","382.50","-2.89","-"
"STARHEALTH","449.00","478.00","446.00","450.50","469.95","-","19.45","4.32","28,53,787","134.63","534.00","327.30","4.57","6.99"
"LEMONTREE","124.55","131.22","123.59","124.65","130.00","-","5.35","4.29","67,20,217","86.60","180.68","117.51","-20.18","-7.14"
"SYRMA","747.90","802.00","742.20","724.05","755.00","-","30.95","4.27","1,21,31,593","932.99","909.90","370.00","5.30","50.66"
"DOMS","2,287.90","2,389.90","2,271.90","2,287.90","2,385.00","-","97.10","4.24","41,692","9.84","3,064.60","2,250.00","-6.22","1.49"
"AUROPHARMA","1,190.00","1,219.00","1,174.00","1,150.60","1,198.90","-","48.30","4.20","81,27,226","975.41","1,278.60","1,010.00","1.80","4.46"
"CCL","930.00","972.90","927.90","932.30","970.95","-","38.65","4.15","1,36,554","13.13","1,074.40","525.00","2.40","55.44"
"DATAPATTNS","2,546.10","2,765.00","2,515.40","2,562.50","2,668.00","-","105.50","4.12","11,92,382","317.29","3,268.80","1,351.15","3.43","27.10"
"JUBLPHARMA","942.00","991.00","930.00","938.10","976.70","-","38.60","4.11","1,56,367","15.21","1,248.00","802.00","-5.66","5.14"
"DEEPAKNTR","1,581.90","1,674.00","1,561.40","1,581.90","1,646.00","-","64.10","4.05","2,47,998","40.76","2,399.95","1,514.00","-5.29","-27.86"
"TEJASNET","324.45","353.45","317.35","325.80","338.90","-","13.10","4.02","73,40,224","249.91","947.60","294.00","-24.51","-61.54"
"CHALET","837.00","873.80","828.05","836.40","869.90","-","33.50","4.01","1,36,912","11.78","1,082.00","634.05","0.77","13.97"
"TECHNOE","941.90","990.00","926.70","942.00","979.60","-","37.60","3.99","2,39,440","23.28","1,654.00","785.15","-6.71","-11.02"
"APARINDS","7,580.50","8,044.50","7,395.00","7,695.00","8,001.00","-","306.00","3.98","1,31,711","103.41","9,905.00","4,308.05","-4.65","9.78"
"ASAHIINDIA","964.80","1,023.00","946.50","961.80","1,000.00","-","38.20","3.97","2,99,450","29.92","1,074.00","576.80","-3.45","57.39"
"PGEL","525.00","564.20","520.75","528.80","549.00","-","20.20","3.82","45,31,512","249.72","1,008.00","465.00","-2.55","-24.55"
"KEC","642.90","670.55","642.00","644.70","669.35","-","24.65","3.82","6,34,922","42.06","947.00","619.35","-8.95","-17.80"
"AADHARHFC","474.15","492.95","471.00","474.15","492.00","-","17.85","3.76","8,38,634","40.75","547.80","361.60","2.36","23.61"
"ATHERENERG","601.35","631.00","600.50","601.35","623.45","-","22.10","3.68","11,37,970","70.51","790.00","288.15","-15.12","-"
"VMM","121.05","127.00","121.00","121.82","126.25","-","4.43","3.64","1,37,54,541","172.37","157.60","95.99","-6.60","19.20"
"TRITURBINE","483.00","506.40","474.30","483.00","500.50","-","17.50","3.62","5,15,923","25.59","710.00","454.10","-5.65","-19.26"
"FORCEMOT","18,325.00","19,400.00","18,130.00","18,435.00","19,100.00","-","665.00","3.61","60,210","114.87","21,990.00","6,200.50","-3.28","198.31"
"CREDITACC","1,268.00","1,357.90","1,268.00","1,268.00","1,313.10","-","45.10","3.56","18,78,383","249.67","1,496.70","847.80","7.35","24.06"
"DELHIVERY","411.00","426.50","405.00","411.80","426.35","-","14.55","3.53","64,06,082","268.20","490.00","236.53","5.13","30.76"
"ANANTRAJ","487.00","515.00","478.00","489.65","506.85","-","17.20","3.51","31,60,804","158.35","743.65","376.15","-7.35","-14.23"
"CENTURYPLY","770.00","810.00","756.55","777.70","805.00","-","27.30","3.51","52,444","4.15","897.10","650.00","-1.01","2.26"
"NESTLEIND","1,286.00","1,339.60","1,283.00","1,287.90","1,332.50","-","44.60","3.46","52,92,100","700.20","1,339.60","1,055.00","4.58","-38.90"
"UNOMINDA","1,142.00","1,186.20","1,133.00","1,143.40","1,183.00","-","39.60","3.46","10,33,856","121.04","1,382.00","767.60","-7.15","32.09"
"KSB","675.20","738.70","675.20","681.40","705.00","-","23.60","3.46","2,29,373","16.46","912.00","582.25","-4.93","2.88"
"HONAUT","32,390.00","34,280.00","32,170.00","32,295.00","33,400.00","-","1,105.00","3.42","8,293","27.72","41,542.55","30,590.00","1.15","-16.65"
"PVRINOX","936.60","979.90","922.90","945.10","977.00","-","31.90","3.38","3,70,613","35.48","1,249.70","830.00","-2.08","-10.07"
"BAJAJHFL","87.80","94.27","87.32","88.02","90.95","-","2.93","3.33","2,55,85,905","234.14","136.96","87.32","-3.55","-21.61"
"AMBER","5,544.00","5,860.00","5,503.00","5,547.00","5,731.00","-","184.00","3.32","5,37,803","308.89","8,626.00","5,235.00","-8.76","-13.20"
"THERMAX","2,808.80","2,917.50","2,751.10","2,795.20","2,888.00","-","92.80","3.32","1,66,507","47.68","4,091.80","2,742.70","-4.50","-23.48"
"AEGISLOG","695.00","748.70","688.55","697.00","720.00","-","23.00","3.30","27,20,762","198.94","946.50","625.50","3.81","7.38"
"KPIL","1,090.00","1,174.50","1,080.80","1,105.80","1,142.00","-","36.20","3.27","1,58,403","17.90","1,335.60","786.30","-1.62","9.17"
"RAILTEL","340.20","355.80","335.60","342.55","353.60","-","11.05","3.23","21,01,706","73.37","478.95","265.50","-3.69","-5.32"
"ABFRL","64.00","67.65","63.22","64.32","66.40","-","2.08","3.23","59,55,224","39.57","295.70","59.80","-12.64","-75.16"
"SUNTV","533.20","565.00","531.00","538.75","556.00","-","17.25","3.20","2,46,111","13.53","691.40","480.20","-3.38","-12.60"
"ERIS","1,330.00","1,388.90","1,325.00","1,342.20","1,385.00","-","42.80","3.19","53,238","7.31","1,910.00","1,097.20","-8.31","17.01"
"ELECON","394.50","415.00","392.20","394.50","407.00","-","12.50","3.17","5,59,920","22.80","716.25","361.50","-13.21","-21.18"
"HFCL","65.25","69.75","64.52","65.82","67.90","-","2.08","3.16","3,02,74,800","204.93","106.95","59.82","8.05","-28.64"
"CEATLTD","3,634.00","3,765.60","3,607.80","3,639.60","3,754.00","-","114.40","3.14","1,12,793","42.18","4,438.00","2,343.05","1.57","28.31"
"COCHINSHIP","1,608.00","1,666.00","1,575.00","1,610.20","1,660.60","-","50.40","3.13","19,86,637","324.45","2,545.00","1,180.20","2.82","15.65"
"DEVYANI","112.00","116.90","111.00","112.98","116.50","-","3.52","3.12","36,11,162","41.63","194.00","109.62","-18.31","-30.70"
"REDINGTON","260.00","273.80","259.10","262.85","271.00","-","8.15","3.10","14,68,467","39.33","334.80","176.94","1.14","31.61"
"CRISIL","4,520.40","4,687.20","4,466.00","4,520.40","4,660.00","-","139.60","3.09","35,018","16.21","6,139.00","3,973.60","11.29","-13.94"
"TATACHEM","721.05","751.20","715.25","722.80","745.00","-","22.20","3.07","4,53,484","33.59","1,026.65","692.00","-0.37","-22.55"
"INDGN","464.00","497.00","464.00","469.35","483.65","-","14.30","3.05","6,17,025","29.97","640.10","455.60","-7.36","-22.48"
"AEGISVOPAK","217.05","234.00","211.27","219.51","226.00","-","6.49","2.96","85,29,614","182.79","302.00","198.00","-9.09","-"
"INDIACEM","442.00","462.60","440.10","445.20","458.30","-","13.10","2.94","3,02,770","13.81","485.80","238.85","3.58","64.29"
"ELGIEQUIP","421.10","436.00","417.20","421.10","433.40","-","12.30","2.92","6,59,852","28.35","608.40","401.00","-8.64","-17.84"
"POWERINDIA","18,200.00","18,925.00","18,100.00","18,322.00","18,852.00","-","530.00","2.89","1,50,302","279.83","22,840.00","9,360.05","4.15","84.36"
"AGARWALEYE","420.05","438.50","414.00","422.15","434.35","-","12.20","2.89","2,68,836","11.45","568.00","327.00","-13.88","-"
"CUB","290.00","304.70","289.00","291.70","300.00","-","8.30","2.85","34,63,960","103.61","304.70","142.91","1.46","74.45"
"APLLTD","757.00","788.95","752.35","763.30","785.00","-","21.70","2.84","42,071","3.26","1,107.90","725.20","-6.39","-13.82"
"CESC","145.44","150.79","143.60","145.83","149.90","-","4.07","2.79","21,33,312","31.64","185.26","119.00","-9.09","8.30"
"FIVESTAR","444.00","474.00","436.45","443.55","455.90","-","12.35","2.78","42,49,329","195.42","850.00","435.05","-15.55","-38.53"
"HONASA","265.70","278.05","263.00","267.75","275.15","-","7.40","2.76","3,23,438","8.84","334.20","197.51","-5.15","24.51"
"BRIGADE","732.20","757.15","721.60","734.45","754.60","-","20.15","2.74","5,02,904","37.48","1,332.00","717.75","-13.55","-31.18"
"HAPPSTMNDS","402.00","415.00","395.05","403.25","414.30","-","11.05","2.74","5,16,691","21.04","773.70","395.05","-8.97","-40.65"
"SAREGAMA","325.00","339.85","324.15","329.05","338.00","-","8.95","2.72","2,34,785","7.86","603.00","318.65","-3.97","-31.01"
"AJANTPHARM","2,680.00","2,807.90","2,675.50","2,694.90","2,768.00","-","73.10","2.71","1,83,417","50.83","3,079.90","2,327.30","2.02","5.86"
"BAYERCROP","4,333.60","4,484.40","4,333.60","4,362.30","4,480.00","-","117.70","2.70","23,391","10.35","6,511.00","4,217.45","-1.06","-10.82"
"JPPOWER","14.85","15.30","14.48","14.88","15.28","-","0.40","2.69","5,61,42,786","83.93","27.70","12.36","-10.49","-1.24"
"AWL","208.00","215.68","207.87","208.63","214.25","-","5.62","2.69","20,48,383","43.81","291.20","204.12","-10.85","-18.89"
"FIRSTCRY","268.00","278.90","266.10","268.85","276.00","-","7.15","2.66","6,70,707","18.36","512.30","254.50","-3.30","-40.36"
"LINDEINDIA","5,850.00","6,048.00","5,835.00","5,846.50","6,000.00","-","153.50","2.63","17,611","10.50","7,870.00","5,242.40","1.73","-4.44"
"NATCOPHARM","810.00","841.30","806.05","813.20","834.50","-","21.30","2.62","5,65,512","47.03","1,341.00","726.80","-6.84","-28.62"
"TATACOMM","1,528.60","1,588.90","1,522.50","1,528.60","1,568.30","-","39.70","2.60","4,82,770","75.48","2,004.00","1,291.00","-13.31","0.99"
"SOBHA","1,398.60","1,460.90","1,385.00","1,406.00","1,442.10","-","36.10","2.57","1,01,573","14.59","1,732.50","1,075.30","-0.58","12.03"
"FINPIPE","171.00","177.00","169.31","172.57","177.00","-","4.43","2.57","3,53,190","6.16","238.00","153.92","3.30","-13.85"
"LTFOODS","358.05","375.95","355.95","360.85","370.00","-","9.15","2.54","4,27,515","15.78","518.55","288.25","-2.47","0.30"
"NETWEB","3,050.00","3,305.00","3,018.10","3,068.00","3,145.00","-","77.00","2.51","12,42,369","394.40","4,479.00","1,251.55","1.66","95.61"
"SAPPHIRE","183.75","191.45","181.05","183.40","188.00","-","4.60","2.51","4,62,008","8.70","368.00","179.40","-23.35","-34.63"
"ABBOTINDIA","26,610.00","27,995.00","26,430.00","26,635.00","27,300.00","-","665.00","2.50","17,026","46.48","37,000.00","25,325.00","-3.89","8.09"
"CLEAN","836.05","864.35","835.50","841.95","863.00","-","21.05","2.50","1,32,093","11.29","1,600.00","834.30","-2.71","-35.36"
"MEDANTA","1,034.10","1,074.80","1,022.90","1,034.10","1,059.90","-","25.80","2.49","3,40,060","35.76","1,456.50","1,010.00","-8.47","1.35"
"OLECTRA","1,049.00","1,091.90","1,043.00","1,061.80","1,088.00","-","26.20","2.47","3,43,628","36.98","1,714.20","965.10","-10.26","-18.16"
"FLUOROCHEM","2,980.40","3,086.90","2,960.80","2,980.40","3,054.00","-","73.60","2.47","1,01,248","30.73","4,083.55","2,916.60","-16.98","-13.67"
"UNITDSPR","1,332.60","1,368.00","1,328.00","1,330.40","1,363.00","-","32.60","2.45","18,03,157","244.94","1,645.00","1,271.10","-4.30","-4.58"
"LATENTVIEW","395.00","410.05","392.85","398.10","407.80","-","9.70","2.44","1,70,204","6.89","517.50","341.20","-11.63","-5.31"
"ENDURANCE","2,367.00","2,448.00","2,340.40","2,367.30","2,424.00","-","56.70","2.40","66,541","16.10","3,079.90","1,675.00","-5.36","24.21"
"ZENTEC","1,377.30","1,420.00","1,355.00","1,384.10","1,417.00","-","32.90","2.38","5,61,620","78.38","2,268.00","945.35","4.63","-16.50"
"JKTYRE","504.90","521.30","501.10","504.20","516.15","-","11.95","2.37","8,84,633","45.61","528.95","243.00","2.97","64.83"
"ASTERDM","538.90","570.25","531.25","539.20","552.00","-","12.80","2.37","6,22,599","34.18","732.20","387.10","-9.68","15.69"
"JUBLINGREA","621.55","652.45","606.85","624.30","639.00","-","14.70","2.35","2,75,881","17.55","851.80","535.20","-8.62","-7.30"
"EIHOTEL","308.75","316.90","306.80","309.60","316.85","-","7.25","2.34","4,00,399","12.48","434.80","304.50","-13.61","-14.02"
"VIJAYA","934.50","969.50","934.50","938.90","960.90","-","22.00","2.34","1,15,360","11.00","1,192.00","740.00","-8.53","-1.87"
"APTUS","269.80","276.70","266.15","269.80","276.00","-","6.20","2.30","8,58,305","23.50","364.00","257.15","-3.22","-4.57"
"PRESTIGE","1,424.10","1,470.00","1,401.80","1,427.50","1,460.00","-","32.50","2.28","10,53,441","152.17","1,814.00","1,048.05","-6.89","10.85"
"GVT&D","3,105.00","3,273.10","3,081.00","3,157.90","3,229.70","-","71.80","2.27","12,29,094","394.59","3,323.80","1,254.00","2.72","96.81"
"UBL","1,421.00","1,487.80","1,415.00","1,427.70","1,460.10","-","32.40","2.27","1,45,408","21.40","2,299.70","1,401.10","-8.60","-29.17"
"MAZDOCK","2,506.00","2,586.00","2,482.00","2,517.20","2,573.90","-","56.70","2.25","22,00,627","562.26","3,775.00","1,918.05","4.49","9.25"
"BRITANNIA","5,723.00","5,887.50","5,710.50","5,723.00","5,851.00","-","128.00","2.24","8,06,045","470.83","6,336.00","4,506.00","-2.54","16.35"
"TATACONSUM","1,106.50","1,138.90","1,100.10","1,107.20","1,132.00","-","24.80","2.24","25,70,464","290.79","1,220.90","930.10","-3.83","18.05"
"TITAGARH","800.00","826.85","789.70","807.00","825.10","-","18.10","2.24","10,65,804","86.80","1,100.00","654.55","-6.55","-13.31"
"IRB","40.63","41.72","40.25","40.67","41.58","-","0.91","2.24","75,69,161","31.18","60.88","38.57","-1.38","-20.51"
"IOB","34.51","35.76","34.32","34.82","35.60","-","0.78","2.24","86,98,940","30.69","52.41","33.50","-0.47","-28.88"
"APOLLOHOSP","6,787.00","6,974.50","6,767.00","6,801.00","6,950.00","-","149.00","2.19","4,89,138","339.39","8,099.50","6,001.00","-0.42","2.60"
"ESCORTS","3,284.10","3,386.90","3,270.10","3,292.30","3,363.50","-","71.20","2.16","1,42,539","47.60","4,180.00","2,776.40","-8.88","-4.33"
"MAHSCOOTER","13,283.00","13,543.00","13,055.00","13,191.00","13,476.00","-","285.00","2.16","4,448","5.95","18,538.00","8,822.00","-5.17","46.14"
"BALRAMCHIN","409.70","422.50","405.00","409.70","418.50","-","8.80","2.15","2,11,893","8.86","627.80","393.55","-3.87","-15.23"
"NIVABUPA","76.00","79.90","73.44","78.08","79.75","-","1.67","2.14","45,11,876","35.14","95.21","68.54","5.38","-2.11"
"MSUMI","42.17","43.55","41.24","42.15","43.05","-","0.90","2.14","59,43,541","25.37","53.59","30.72","-11.59","-20.32"
"CENTRALBK","36.62","37.57","36.15","36.71","37.49","-","0.78","2.12","88,98,237","33.00","52.81","32.75","1.00","-26.59"
"KAYNES","3,380.50","3,562.00","3,355.10","3,402.40","3,473.00","-","70.60","2.08","16,91,171","587.26","7,705.00","3,294.90","-11.63","-29.87"
"TARIL","233.00","237.95","226.50","233.10","237.95","-","4.85","2.08","32,45,111","75.79","594.00","226.50","-16.70","-73.68"
"GODREJAGRO","523.60","535.75","517.45","523.60","534.50","-","10.90","2.08","86,238","4.56","876.35","506.10","-5.00","-25.17"
"LODHA","947.70","977.00","936.00","951.40","971.10","-","19.70","2.07","29,14,884","281.60","1,531.00","863.80","-8.08","-14.44"
"OLAELEC","31.65","32.85","31.40","31.85","32.51","-","0.66","2.07","6,34,96,645","205.60","80.80","30.76","-11.62","-51.00"
"ZEEL","82.14","84.95","81.25","82.55","84.26","-","1.71","2.07","86,12,867","72.22","151.70","78.40","-5.91","-20.52"
"EMCURE","1,442.50","1,475.10","1,422.20","1,435.50","1,465.10","-","29.60","2.06","1,02,432","14.86","1,585.60","889.00","5.12","21.32"
"HBLENGINE","764.75","794.00","749.15","768.75","784.50","-","15.75","2.05","16,31,835","126.94","1,122.00","405.00","-16.03","43.86"
"GLENMARK","1,978.70","2,026.10","1,928.80","1,985.60","2,026.10","-","40.50","2.04","5,54,016","110.92","2,284.80","1,275.50","-0.68","38.68"
"JYOTHYLAB","244.95","250.45","242.90","244.50","249.50","-","5.00","2.04","4,03,440","9.94","423.00","242.60","-10.35","-36.39"
"JUBLFOOD","487.00","500.20","483.05","488.40","498.25","-","9.85","2.02","31,96,265","158.25","760.50","481.10","-10.97","-27.79"
"CAMPUS","246.00","254.05","245.35","247.55","252.55","-","5.00","2.02","1,03,313","2.59","313.90","210.00","-2.88","-4.72"
"SAMMAANCAP","146.92","152.38","144.85","147.57","150.50","-","2.93","1.99","1,91,77,311","286.76","192.95","97.61","6.88","3.27"
"JSL","809.90","830.00","769.65","810.10","826.00","-","15.90","1.96","16,30,943","130.73","884.00","496.60","-1.61","28.99"
"EIDPARRY","894.30","927.10","882.80","902.50","920.00","-","17.50","1.94","1,60,535","14.73","1,246.80","639.00","-10.45","12.57"
"CHAMBLFERT","433.00","443.70","428.00","435.25","443.60","-","8.35","1.92","8,72,655","38.20","742.20","410.20","-6.53","-10.09"
"RPOWER","27.77","28.70","27.10","27.77","28.30","-","0.53","1.91","4,97,88,152","139.76","76.49","26.83","-16.07","-26.91"
"BLUEDART","5,412.00","5,519.00","5,333.00","5,412.00","5,515.00","-","103.00","1.90","24,247","13.26","7,225.00","5,190.50","-0.91","-14.35"
"IDBI","97.41","101.50","96.70","97.81","99.65","-","1.84","1.88","1,03,98,665","103.56","118.38","66.50","-1.73","27.98"
"ENGINERSIN","168.60","173.10","166.26","169.97","173.00","-","3.03","1.78","26,53,537","45.35","255.45","142.20","-13.55","5.76"
"ASTRAZEN","8,415.00","8,595.00","8,329.50","8,391.00","8,540.00","-","149.00","1.78","4,432","3.76","10,691.00","6,620.10","-4.13","18.67"
"M&M","3,283.00","3,452.40","3,282.80","3,384.40","3,444.30","-","59.90","1.77","52,91,090","1,796.09","3,839.90","2,425.00","-6.24","17.35"
"ASHOKLEY","192.90","198.00","191.92","194.06","197.50","-","3.44","1.77","1,42,39,171","278.79","199.21","95.93","10.11","-4.54"
"FINCABLES","710.00","727.00","700.80","710.80","723.40","-","12.60","1.77","1,46,697","10.53","1,059.95","700.80","-1.31","-26.63"
"BSOFT","414.95","423.50","409.00","409.90","417.00","-","7.10","1.73","12,42,905","51.95","541.75","331.00","-1.31","-21.40"
"ITCHOTELS","178.30","181.90","178.05","177.92","180.92","-","3.00","1.69","50,03,334","90.22","261.62","155.10","-7.89","5.18"
"ALOKINDS","14.79","15.15","14.58","14.87","15.12","-","0.25","1.68","61,66,674","9.22","23.50","14.00","-5.39","-18.07"
"UCOBANK","28.70","29.29","28.33","28.72","29.20","-","0.48","1.67","75,94,933","21.99","44.25","26.81","1.28","-31.68"
"GLAND","1,800.10","1,874.80","1,782.00","1,800.10","1,830.00","-","29.90","1.66","4,55,894","84.27","2,131.00","1,277.80","10.73","22.55"
"BANDHANBNK","151.99","155.49","150.32","151.99","154.45","-","2.46","1.62","1,04,11,870","160.77","192.48","128.16","6.06","2.87"
"MRF","1,30,900.00","1,33,000.00","1,30,025.00","1,30,915.00","1,33,000.00","-","2,085.00","1.59","18,857","247.13","1,63,600.00","1,02,124.05","-12.53","17.65"
"WAAREEENER","2,727.00","2,799.90","2,700.00","2,748.50","2,792.00","-","43.50","1.58","9,46,856","262.69","3,865.00","1,863.00","-6.47","26.27"
"AFFLE","1,525.00","1,593.90","1,510.00","1,534.80","1,559.00","-","24.20","1.58","3,06,834","47.58","2,185.90","1,246.00","-12.73","3.01"
"INTELLECT","902.95","932.10","900.10","902.95","917.20","-","14.25","1.58","2,72,591","24.96","1,255.00","577.40","-3.34","11.17"
"NAM-INDIA","870.00","919.20","868.00","861.60","875.00","-","13.40","1.56","36,96,740","331.41","987.35","498.05","1.77","53.34"
"INOXINDIA","1,105.00","1,118.00","1,087.60","1,100.50","1,117.50","-","17.00","1.54","22,240","2.47","1,288.00","885.10","0.69","21.44"
"MFSL","1,567.20","1,624.70","1,561.40","1,585.00","1,609.30","-","24.30","1.53","7,14,787","114.93","1,752.20","950.00","-1.27","50.26"
"NCC","143.92","147.49","141.90","144.64","146.86","-","2.22","1.53","25,99,299","37.79","261.80","138.57","-5.53","-38.19"
"ADANIPOWER","133.00","136.50","131.91","133.88","135.87","-","1.99","1.49","1,51,57,606","203.66","182.70","92.40","-6.41","-74.10"
"BLS","252.00","259.80","251.65","254.75","258.40","-","3.65","1.43","14,79,098","37.92","457.95","245.95","-18.68","-39.05"
"ABB","5,440.00","5,605.50","5,400.00","5,474.00","5,551.00","-","77.00","1.41","6,34,906","351.29","6,260.00","4,637.50","8.56","-8.71"
"JBCHEPHARM","1,830.00","1,883.10","1,775.80","1,846.00","1,871.60","-","25.60","1.39","1,46,957","27.28","1,939.00","1,385.75","3.84","8.70"
"RITES","223.20","229.69","221.61","225.18","228.30","-","3.12","1.39","6,62,706","15.06","316.00","192.40","-3.73","-9.43"
"IRCON","160.40","165.73","158.30","162.01","164.23","-","2.22","1.37","44,58,462","72.74","229.50","134.24","-4.37","-15.54"
"CHOLAHLDNG","1,631.60","1,664.70","1,625.50","1,631.60","1,653.90","-","22.30","1.37","2,51,719","41.62","2,231.60","1,357.35","-9.39","10.01"
"NH","1,739.40","1,777.70","1,730.00","1,742.20","1,766.00","-","23.80","1.37","2,17,003","38.29","2,370.20","1,265.20","-3.39","35.66"
"NAVA","552.20","570.80","550.00","552.20","559.70","-","7.50","1.36","3,11,297","17.53","735.00","356.05","0.83","29.17"
"BOSCHLTD","35,900.00","36,750.00","35,555.00","36,015.00","36,500.00","-","485.00","1.35","24,729","89.79","41,945.00","25,921.60","2.83","29.74"
"ICICIPRULI","625.30","640.15","621.00","625.30","633.50","-","8.20","1.31","14,84,926","94.20","706.80","525.80","-2.75","4.95"
"MANYAVAR","476.80","491.85","471.90","478.75","485.00","-","6.25","1.31","3,05,369","14.73","1,143.10","465.50","-15.79","-56.28"
"ACE","838.00","856.60","819.45","841.00","851.95","-","10.95","1.30","1,86,649","15.75","1,389.00","775.45","-8.19","-34.97"
"RCF","135.13","138.25","130.96","135.26","137.00","-","1.74","1.29","27,91,363","38.09","171.38","110.80","-5.62","-12.13"
"INDHOTEL","667.90","678.50","661.50","664.60","673.10","-","8.50","1.28","37,13,962","249.92","858.00","633.85","-7.59","-13.30"
"GLAXO","2,359.90","2,414.00","2,306.30","2,366.60","2,397.00","-","30.40","1.28","1,09,753","26.00","3,515.70","1,921.00","0.73","21.05"
"POLYMED","1,490.10","1,558.00","1,490.00","1,505.70","1,525.00","-","19.30","1.28","1,05,814","16.12","2,937.60","1,483.10","-10.47","-32.99"
"IRCTC","614.00","624.40","608.80","615.35","623.10","-","7.75","1.26","18,18,270","112.52","831.75","601.30","-8.70","-18.28"
"SCI","221.00","233.00","217.90","222.65","225.42","-","2.77","1.24","58,10,942","132.14","280.50","138.26","-1.36","17.95"
"TORNTPOWER","1,371.30","1,390.00","1,350.50","1,371.20","1,388.00","-","16.80","1.23","5,59,322","76.86","1,640.00","1,188.00","9.55","-5.93"
"HYUNDAI","2,139.30","2,225.00","2,125.00","2,150.00","2,176.20","-","26.20","1.22","7,18,522","156.05","2,890.00","1,541.70","-4.58","33.14"
"AKUMS","435.00","442.20","427.90","434.80","440.00","-","5.20","1.20","69,932","3.05","622.95","405.00","-2.51","-23.91"
"WOCKPHARMA","1,365.00","1,391.00","1,350.00","1,371.70","1,388.00","-","16.30","1.19","2,49,013","34.30","1,868.80","1,110.05","0.58","4.28"
